
20 ['Chr1', 701, 'r2880', 44, '174M26S', '+']
30 ['Chr1', 1052, 'r2600', 44, '196M4S', '+']
22 ['Chr1', 7141, 'r1067', 44, '88M12S', '+']
19 ['Chr2', 5741, 'r4728', 44, '199M1S', '+']
20 ['Chr2', 6511, 'r3267', 41, '23S77M', '-']
12 ['Chr3', 1, 'r6557', 44, '2S98M', '-']
15 ['Chr3', 281, 'r6618', 44, '195M5S', '+']
22 ['Chr4', 10221, 'r7620', 44, '191M9S', '+']


37 ['Chr1', 701, 'r2662', 44, '197M3S', '+']
28 ['Chr1', 1052, 'r2028', 44, '183M17S', '+']
35 ['Chr1', 7141, 'r919', 44, '89M11S', '+']
23 ['Chr2', 5741, 'r3322', 44, '194M6S', '+']
19 ['Chr2', 6511, 'r3529', 44, '8S92M', '-']
10 ['Chr3', 1, 'r5985', 44, '12S88M', '-']
11 ['Chr3', 281, 'r6928', 44, '188M12S', '+']
24 ['Chr4', 10221, 'r8898', 44, '191M9S', '+']


27 ['Chr1', 701, 'r1814', 44, '199M1S', '+']
25 ['Chr1', 1052, 'r1334', 44, '193M7S', '+']
36 ['Chr1', 7141, 'r2848', 44, '195M5S', '+']
15 ['Chr2', 5741, 'r3720', 44, '191M9S', '+']
8 ['Chr2', 6511, 'r5639', 42, '19S81M', '-']
18 ['Chr3', 1, 'r5881', 44, '2S98M', '-']
13 ['Chr3', 281, 'r6632', 44, '172M28S', '+']
31 ['Chr4', 10221, 'r9542', 44, '196M4S', '+']


27 ['Chr1', 701, 'r56', 44, '194M6S', '+']
29 ['Chr1', 1052, 'r884', 44, '198M2S', '+']
31 ['Chr1', 7141, 'r1492', 44, '199M1S', '+']
13 ['Chr2', 5741, 'r4614', 44, '199M1S', '+']
11 ['Chr2', 6511, 'r3727', 44, '7S93M', '-']
16 ['Chr3', 1, 'r7165', 41, '24S76M', '-']
15 ['Chr3', 281, 'r7262', 44, '192M8S', '+']
27 ['Chr4', 10221, 'r8280', 44, '199M1S', '+']


25 ['Chr1', 701, 'r174', 44, '199M1S', '+']
32 ['Chr1', 1052, 'r2436', 44, '178M22S', '+']
34 ['Chr1', 7141, 'r180', 44, '191M9S', '+']
17 ['Chr2', 5741, 'r4816', 44, '193M7S', '+']
14 ['Chr2', 6511, 'r3361', 41, '26S74M', '-']
20 ['Chr3', 1, 'r5851', 44, '6S94M', '-']
19 ['Chr3', 281, 'r6280', 44, '188M12S', '+']
23 ['Chr4', 10221, 'r8474', 44, '195M5S', '+']


31 ['Chr1', 701, 'r376', 44, '190M10S', '+']
31 ['Chr1', 1052, 'r676', 44, '190M10S', '+']
25 ['Chr1', 7141, 'r2452', 44, '191M9S', '+']
24 ['Chr2', 5741, 'r2942', 44, '189M11S', '+']
11 ['Chr3', 1, 'r5977', 44, '12S88M', '-']
21 ['Chr3', 281, 'r7408', 44, '193M7S', '+']
10 ['Chr4', 10221, 'r7694', 44, '193M7S', '+']
1 ['Chr2', 6511, 'r3054', 25, '56S144M', '-']
1 ['Chr2', 6511, 'r3516', 25, '51S149M', '-']
1 ['Chr2', 6511, 'r4002', 9, '91S109M', '-']
1 ['Chr2', 6511, 'r4406', 18, '74S126M', '-']
1 ['Chr2', 6511, 'r4506', 21, '65S135M', '-']
1 ['Chr2', 6511, 'r4554', 9, '91S109M', '-']
1 ['Chr2', 6511, 'r4572', 2, '98S102M', '-']
1 ['Chr2', 6511, 'r4586', 17, '80S120M', '-']
1 ['Chr2', 6511, 'r4631', 21, '34S66M', '-']
1 ['Chr2', 6511, 'r4632', 38, '34S166M', '-']
1 ['Chr2', 6511, 'r4683', 21, '35S65M', '-']
1 ['Chr2', 6511, 'r4684', 38, '35S165M', '-']
1 ['Chr2', 6511, 'r5677', 9, '43S57M', '-']
1 ['Chr2', 6511, 'r5678', 37, '43S157M', '-']


